scan.id,no.leaves,leaf.no,MR.length.cm,MR.area.cm2,MR.lesion.area.cm2,MR.lesion.no,MR.grazing.area.cm2,MR.grazing.no,MR.broken.tip,FS.length.cm,FS.area.cm2,FS.lesion.area.cm2,FS.lesion.no,FS.grazing.area.cm2,FS.grazing.no,FS.broken.tip,scan.notes,scoring.notes
A-1-7.17,3,1,3.296,1.118,0,0,0,0,N,3.363,1.141,0,0,0,0,N,.,.
A-2-7.17,4,1,37.252,14.938,0,0,0,0,N,37.395,14.878,0,0,0.003,1,N,.,L4 senescent
A-3-7.17,4,1,8.533,3.61,0,0,0.002,1,N,8.429,3.61,0,0,0,0,N,.,.
A-4-7.17,4,1,4.731,1.73,0,0,0,0,N,4.748,1.731,0,0,0,0,N,.,.
A-1-7.17,3,2,51.679,19.984,0.001,1,0.006,1,Y,51.871,20.385,0.001,1,0.006,1,N,.,.
A-2-7.17,4,2,85.62,35.217,0.005,1,0.018,1,N,86.174,35.172,0.009,3,0.015,1,N,.,L4 senescent
A-3-7.17,4,2,60.269,29.799,0.052,1,0.013,1,N,59.487,29.799,0.05,2,0,0,N,.,.
A-4-7.17,4,2,53.726,23.341,0.001,1,0.008,1,N,53.879,23.347,0.002,1,0.006,1,N,.,.
A-1-7.17,3,3,82.036,33.503,0.058,3,0.008,1,Y,82.486,34.015,0.073,3,0,0,NA,.,.
A-2-7.17,4,3,70.909,29.96,0.069,4,0,0,N,71.195,29.183,0.04,3,0,0,Y,.,L4 senescent
A-3-7.17,4,3,91.954,46.895,0.019,2,0.04,1,N,90.666,46.895,0.025,2,0.031,1,N,.,.
A-4-7.17,4,3,82.791,36.909,0.018,2,0.036,4,N,83.042,36.909,0.013,3,0.005,1,N,.,.
A-1-7.17,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,.
A-2-7.17,4,4,79.771,31.934,1.508,13,0.052,4,Y,80.171,32.214,1.796,12,0.021,8,Y,.,L4 senescent
A-3-7.17,4,4,89.601,44.864,0.113,9,0.02,2,Y,88.19,44.879,0.124,10,0.007,2,N,.,.
A-4-7.17,4,4,85.542,36.657,9.13,19,0.04,2,Y,85.719,36.657,10.766,12,0.813,7,Y,.,.
