th,month.collected,year.collected,researchers,time,transect,depth,quadrat.id,quadrat.dist,salinity.ppt,sediment.type,zm.perc.cover,zm.veg.density0.0625m2,zm.repro.density0.0625m2,canopy.height.cm,WD.field.qual.absent,WD.field.qual.trace,WD.field.qual.low,WD.field.est.absent,WD.field.est.trace,WD.field.est.low,WD.field.est.mid,WD.field.est.high,wd.prevalence,day.processed,month.processed,year.processed,zm.density.core,leaf.weight.g,stem.sheath.weight.g,root.rhiz.weight.g,scan.id,no.leaves,sheath.length.cm,L1.length.cm,L1.area.cm2,L1.lesion.area.cm2,L1.lesion.no,L1.grazing.area.cm2,L1.grazing.no,L1.broken.tip,L2.length.cm,L2.area.cm2,L2.lesion.area.cm2,L2.lesion.no,L2.grazing.area.cm2,L2.grazing.no,L2.broken.tip,L3.length.cm,L3.area.cm2,L3.lesion.area.cm2,L3.lesion.no,L3.grazing.area.cm2,L3.grazing.no,L3.broken.tip,L4.length.cm,L4.area.cm2,L4.lesion.area.cm2,L4.lesion.no,L4.grazing.area.cm2,L4.grazing.no,L4.broken.tip,scan.notes,scoring.notes
26,july,2017,"TE,JC,FS,AB",12:30,A,shallow,1,2,29,sandy w/ eroision (clay),70,15,2,113,0,0,1,0,2,3,0,0,1,27,july,2017,4,4.0065,1.9155,0.3213,A-1-7.17,3,31.4,3.363,1.141,0,0,0,0,N,51.871,20.385,0.001,1,0.006,1,N,82.486,34.015,0.073,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,.,check
26,july,2017,"TE,JC,FS,AB",12:30,A,shallow,2,7,29,sandy w/ eroision (clay),70,15,2,121,0,1,0,NA,NA,NA,NA,NA,NA,27,july,2017,1,0.8689,0.28,0.6432,A-2-7.17,4,24.7,37.395,14.878,0,0,0.003,1,N,86.174,35.172,0.009,3,0.015,1,N,71.195,29.183,0.04,3,0,0,Y,80.171,32.214,1.796,12,0.021,8,Y,.,L4 senescent
26,july,2017,"TE,JC,FS,AB",12:30,A,shallow,3,8,29,sandy w/ eroision (clay),75,18,0,100,0,0,1,0,4,1,0,0,1,27,july,2017,3,1.6579,0.8611,0.1326,A-3-7.17,4,33,8.429,3.61,0,0,0,0,N,59.487,29.799,0.05,2,0,0,N,90.666,46.895,0.025,2,0.031,1,N,88.19,44.879,0.124,10,0.007,2,N,.,.
26,july,2017,"TE,JC,FS,AB",12:30,A,shallow,4,16,29,sandy w/ eroision (clay),70,15,1,96,0,1,0,NA,NA,NA,NA,NA,NA,27,july,2017,4,2.6056,1.5622,0.7706,A-4-7.17,4,26.8,4.748,1.731,0,0,0,0,N,53.879,23.347,0.002,1,0.006,1,N,83.042,36.909,0.013,3,0.005,1,N,85.719,36.657,10.766,12,0.813,7,Y,.,.
26,july,2017,"TE,JC,FS,AB",12:30,A,shallow,5,18,29,sandy w/ eroision (clay),60,11,3,97,0,1,0,2,1,2,0,0,0.6,27,july,2017,3,1.6536,0.8606,0.5856,A-5-7.17,3,25.5,36.622,15.103,0,0,0.007,1,N,69.752,29.583,0,0,0,0,Y,76.321,31.156,1.437,5,0.634,9,N,NA,NA,NA,NA,NA,NA,NA,"Leaves scanned oldest (#1) to youngest (#3,4,5,...)",.
26,july,2017,"TE,JC,FS,AB",12:30,A,shallow,6,25,29,sandy w/ eroision (clay),60,16,0,52,0,1,0,NA,NA,NA,NA,NA,NA,27,july,2017,1,0.4216,0.1896,1.1138,A-6-7.17,3,17.5,23.758,9.094,0,0,0.018,2,N,45.262,17.731,0.001,1,0.014,1,N,47.15,18.438,0.018,6,0.73,3,N,NA,NA,NA,NA,NA,NA,NA,.,.
26,july,2017,"TE,JC,FS,AB",12:30,A,shallow,7,26,29,sandy w/ eroision (clay),55,11,1,89,0,0,1,0,2,1,2,0,1,27,july,2017,1,0.4322,0.2429,0.3397,A-7-7.17,3,19,24.257,9.937,0,0,0.001,1,N,60.654,25.087,0.017,5,0.032,1,N,61.829,24.595,0.007,4,0.665,15,Y,NA,NA,NA,NA,NA,NA,NA,.,.
26,july,2017,"TE,JC,FS,AB",12:30,A,shallow,8,33,29,sandy w/ eroision (clay),60,12,3,105,0,0,1,NA,NA,NA,NA,NA,NA,27,july,2017,2,0.79,0.3936,0.2785,A-8-7.17,4,25.2,53.158,23.529,0,0,0,0,N,49.885,22.009,0.015,2,0.006,1,N,107.609,48.254,5.954,3,0.538,5,N,83.455,37.129,4.875,8,0.017,2,Y,"Leaves scanned oldest (#1) to youngest (#3,4,5,...)",L4 senescent
26,july,2017,"TE,JC,FS,AB",12:30,A,shallow,9,38,29,sandy w/ eroision (clay),85,21,7,110,0,0,1,0,1,2,2,0,1,27,july,2017,3,2.6254,1.3107,0.762,A-9-7.17,3,28.5,16.318,6.846,0,0,0,0,N,61.809,27.508,0.03,2,0.007,1,N,87.891,38.854,0.049,4,0.031,2,N,NA,NA,NA,NA,NA,NA,NA,.,.
26,july,2017,"TE,JC,FS,AB",12:30,A,shallow,10,40,29,sandy w/ eroision (clay),60,12,8,104,0,1,0,NA,NA,NA,NA,NA,NA,27,july,2017,3,2.4601,1.2918,0.8207,A-10-7.17,3,39.3,72.358,28.301,0.004,1,0.041,2,N,102.52,41.709,0.213,4,0.252,5,N,106.928,42.202,0.847,15,1.606,11,N,NA,NA,NA,NA,NA,NA,NA,.,.
26,july,2017,"TE,JC,FS,AB",12:30,A,shallow,11,44,29,sandy w/ eroision (clay),70,18,6,113,0,0,1,0,2,3,0,0,1,27,july,2017,3,0.8364,0.4516,0.3923,A-11-7.17,3,NA,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Leaves scanned oldest (#1) to youngest (#3,4,5,...)",.
26,july,2017,"TE,JC,FS,AB",12:30,A,shallow,12,46,29,sandy w/ eroision (clay),75,19,2,92,0,0,1,NA,NA,NA,NA,NA,NA,27,july,2017,1,0.802,0.3233,0.5664,A-12-7.17,4,22.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Leaves scanned oldest (#1) to youngest (#3,4,5,...)",.
26,july,2017,"TE,JC,FS,AB",14:30,B,mid,1,9,29,NA,60,15,1,105,0,0,1,0,2,3,0,0,1,27,july,2017,1,0.6317,0.3064,0.1574,B-1-7.17,4,21.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
26,july,2017,"TE,JC,FS,AB",14:30,B,mid,2,10,29,NA,65,17,2,109,0,0,1,NA,NA,NA,NA,NA,NA,27,july,2017,1,0.874,0.4795,0.4892,B-2-7.17,4,25.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
26,july,2017,"TE,JC,FS,AB",14:30,B,mid,3,15,29,NA,70,18,1,102,0,0,1,1,2,2,0,0,0.8,27,july,2017,2,1.0555,0.531,1.2916,B-3-7.17,4,25.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
26,july,2017,"TE,JC,FS,AB",14:30,B,mid,4,17,29,NA,40,9,2,99,0,1,0,NA,NA,NA,NA,NA,NA,27,july,2017,1,0.5112,0.2649,0.0901,B-4-7.17,4,23.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
26,july,2017,"TE,JC,FS,AB",14:30,B,mid,5,22,29,NA,30,6,1,101,0,1,0,1,2,1,1,0,0.8,27,july,2017,1,0.4664,0.1819,0.1545,B-5-7.17,4,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
26,july,2017,"TE,JC,FS,AB",14:30,B,mid,6,25,29,NA,65,18,0,97,0,1,0,NA,NA,NA,NA,NA,NA,27,july,2017,1,0.437,0.2567,0.0413,B-6-7.17,3,23.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
26,july,2017,"TE,JC,FS,AB",14:30,B,mid,7,28,29,NA,45,8,0,100,0,0,1,2,2,1,0,0,0.6,27,july,2017,3,1.0295,0.4773,0.5215,B-7-7.17,2,19.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
26,july,2017,"TE,JC,FS,AB",14:30,B,mid,8,31,29,NA,45,9,1,106,0,0,1,NA,NA,NA,NA,NA,NA,27,july,2017,1,1.1294,0.565,1.0186,B-8-7.17,3,34.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
26,july,2017,"TE,JC,FS,AB",14:30,B,mid,9,35,29,NA,85,23,0,122,0,1,0,1,3,1,0,0,0.8,27,july,2017,2,1.1211,0.4868,0.3919,B-9-7.17,3,29.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
26,july,2017,"TE,JC,FS,AB",14:30,B,mid,10,37,29,NA,85,24,3,127,0,0,1,NA,NA,NA,NA,NA,NA,27,july,2017,5,1.4935,0.7056,0.8058,B-10-7.17,3,21.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
26,july,2017,"TE,JC,FS,AB",14:30,B,mid,11,39,29,NA,65,17,2,130,0,1,0,1,2,1,1,0,0.8,27,july,2017,5,1.0706,0.6528,0.381,B-11-7.17,4,12.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
26,july,2017,"TE,JC,FS,AB",14:30,B,mid,12,45,29,NA,65,17,2,102,0,0,1,NA,NA,NA,NA,NA,NA,27,july,2017,1,1.0519,0.6351,0.2483,B-12-7.17,2,30.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
26,july,2017,"TE,JC,FS,AB",10:00,C,deep,1,5,29,sandy,30,12,3,60,0,0,1,3,5,2,0,0,0.7,27,july,2017,1,0.8806,0.257,0.0043,C-1-7.17,4,19.3,1.908,0.664,0,0,0,0,N,57.341,27.64,0,0,0.019,1,N,69.552,33.974,0.011,3,0.004,1,N,49.976,22.978,0.773,7,0.043,8,N,.,.
26,july,2017,"TE,JC,FS,AB",10:00,C,deep,2,7,29,sandy,30,7,2,80,0,0,1,NA,NA,NA,NA,NA,NA,27,july,2017,2,1.0212,0.4337,0.3688,C-2-7.17,3,20.3,28.254,11.173,0,0,0.058,1,N,58.181,23.69,0.038,1,0.038,2,N,71.521,28.198,0.032,3,0.021,2,Y,NA,NA,NA,NA,NA,NA,NA,.,.
26,july,2017,"TE,JC,FS,AB",10:00,C,deep,3,10,29,sandy,50,11,1,70,0,0,1,2,0,2,0,0,0.5,27,july,2017,1,0.7084,0.2338,0.7982,C-3-7.17,3,26.5,28.506,10.814,0,0,0.018,1,N,67.204,26.68,0,0,0.017,1,N,82.639,32.904,0.017,6,0.124,9,N,NA,NA,NA,NA,NA,NA,NA,.,.
26,july,2017,"TE,JC,FS,AB",10:00,C,deep,4,18,29,sandy,40,8,1,90,0,0,1,NA,NA,NA,NA,NA,NA,27,july,2017,2,1.0828,0.4679,0.2489,C-4-7.17,3,21.5,33.902,13.674,0,0,0.002,1,N,69.404,28.989,0.014,3,0.053,10,N,77.355,32.063,0.033,5,0.026,7,N,NA,NA,NA,NA,NA,NA,NA,.,.
26,july,2017,"TE,JC,FS,AB",10:00,C,deep,5,19,29,sandy,50,12,4,85,0,0,1,1,1,2,0,0,0.75,27,july,2017,1,0.5877,0.3514,0.1222,C-5-7.17,4,22.2,10.916,4.285,0,0,0.012,1,N,37.541,16.043,0.001,1,0.023,1,N,63.727,27.821,0.002,1,0.003,2,N,68.231,30.169,0,0,0.51,5,Y,.,.
26,july,2017,"TE,JC,FS,AB",10:00,C,deep,6,22,29,sandy,50,12,3,90,0,0,1,NA,NA,NA,NA,NA,NA,27,july,2017,1,0.6265,0.4178,0.0038,C-6-7.17,4,24,3.709,1.305,0,0,0,0,N,33.542,14.048,0,0,0.016,1,N,75.268,32.416,0.016,3,0.027,8,N,64.682,28.547,0,0,0.023,1,N,.,.
26,july,2017,"TE,JC,FS,AB",10:00,C,deep,7,26,29,sandy,50,13,1,75,0,0,1,2,1,2,0,0,0.6,27,july,2017,3,0.9519,0.4432,0.3584,C-7-7.17,4,16.5,12.582,4.409,0,0,0,0,N,41.752,15.32,0,0,0.008,1,N,49.085,17.248,1.694,12,0.01,4,N,54.484,20.073,0.59,6,0.002,1,N,.,.
