month.collected,year.collected,depth,quadrat.id,zm.veg.density,canopy.height,wd.present
july,2017,shallow,1,15,113,1
july,2017,shallow,1,15,113,1
july,2017,shallow,1,15,113,1
july,2017,shallow,1,15,113,1
july,2017,shallow,1,15,113,1
july,2017,shallow,3,18,100,1
july,2017,shallow,3,18,100,1
july,2017,shallow,3,18,100,1
july,2017,shallow,3,18,100,1
july,2017,shallow,3,18,100,1
july,2017,shallow,5,11,97,0
july,2017,shallow,5,11,97,0
july,2017,shallow,5,11,97,1
july,2017,shallow,5,11,97,1
july,2017,shallow,5,11,97,1
july,2017,shallow,7,11,89,1
july,2017,shallow,7,11,89,1
july,2017,shallow,7,11,89,1
july,2017,shallow,7,11,89,1
july,2017,shallow,7,11,89,1
july,2017,shallow,9,21,110,1
july,2017,shallow,9,21,110,1
july,2017,shallow,9,21,110,1
july,2017,shallow,9,21,110,1
july,2017,shallow,9,21,110,1
july,2017,shallow,11,18,113,1
july,2017,shallow,11,18,113,1
july,2017,shallow,11,18,113,1
july,2017,shallow,11,18,113,1
july,2017,shallow,11,18,113,1
july,2017,mid,1,15,105,1
july,2017,mid,1,15,105,1
july,2017,mid,1,15,105,1
july,2017,mid,1,15,105,1
july,2017,mid,1,15,105,1
july,2017,mid,3,18,102,0
july,2017,mid,3,18,102,1
july,2017,mid,3,18,102,1
july,2017,mid,3,18,102,1
july,2017,mid,3,18,102,1
july,2017,mid,5,6,101,0
july,2017,mid,5,6,101,1
july,2017,mid,5,6,101,1
july,2017,mid,5,6,101,1
july,2017,mid,5,6,101,1
july,2017,mid,7,8,100,0
july,2017,mid,7,8,100,0
july,2017,mid,7,8,100,1
july,2017,mid,7,8,100,1
july,2017,mid,7,8,100,1
july,2017,mid,9,23,122,0
july,2017,mid,9,23,122,1
july,2017,mid,9,23,122,1
july,2017,mid,9,23,122,1
july,2017,mid,9,23,122,1
july,2017,mid,11,17,130,0
july,2017,mid,11,17,130,1
july,2017,mid,11,17,130,1
july,2017,mid,11,17,130,1
july,2017,mid,11,17,130,1
july,2017,deep,1,12,60,0
july,2017,deep,1,12,60,0
july,2017,deep,1,12,60,0
july,2017,deep,1,12,60,1
july,2017,deep,1,12,60,1
july,2017,deep,1,12,60,1
july,2017,deep,1,12,60,1
july,2017,deep,1,12,60,1
july,2017,deep,1,12,60,1
july,2017,deep,1,12,60,1
july,2017,deep,3,11,70,0
july,2017,deep,3,11,70,0
july,2017,deep,3,11,70,1
july,2017,deep,3,11,70,1
july,2017,deep,5,12,85,0
july,2017,deep,5,12,85,1
july,2017,deep,5,12,85,1
july,2017,deep,5,12,85,1
july,2017,deep,7,13,75,0
july,2017,deep,7,13,75,0
july,2017,deep,7,13,75,1
july,2017,deep,7,13,75,1
july,2017,deep,7,13,75,1
july,2017,deep,9,6,70,1
july,2017,deep,9,6,70,1
july,2017,deep,9,6,70,1
july,2017,deep,9,6,70,1
july,2017,deep,9,6,70,1
july,2017,deep,11,6,75,0
july,2017,deep,11,6,75,1
july,2017,deep,11,6,75,1
july,2017,deep,11,6,75,1
july,2017,deep,11,6,75,1
october,2017,shallow,1,11,92,0
october,2017,shallow,1,11,92,1
october,2017,shallow,1,11,92,1
october,2017,shallow,1,11,92,1
october,2017,shallow,1,11,92,1
october,2017,shallow,2,21,95,0
october,2017,shallow,2,21,95,0
october,2017,shallow,2,21,95,1
october,2017,shallow,2,21,95,1
october,2017,shallow,2,21,95,1
october,2017,shallow,3,17,90,0
october,2017,shallow,3,17,90,0
october,2017,shallow,3,17,90,1
october,2017,shallow,3,17,90,1
october,2017,shallow,3,17,90,1
october,2017,shallow,7,12,54,0
october,2017,shallow,7,12,54,1
october,2017,shallow,7,12,54,1
october,2017,shallow,7,12,54,1
october,2017,shallow,7,12,54,1
october,2017,shallow,9,15,96,1
october,2017,shallow,9,15,96,1
october,2017,shallow,9,15,96,1
october,2017,shallow,9,15,96,1
october,2017,shallow,9,15,96,1
october,2017,shallow,11,13,98,0
october,2017,shallow,11,13,98,1
october,2017,shallow,11,13,98,1
october,2017,shallow,11,13,98,1
october,2017,shallow,11,13,98,1
october,2017,deep,1,13,68,1
october,2017,deep,1,13,68,1
october,2017,deep,1,13,68,1
october,2017,deep,1,13,68,1
october,2017,deep,1,13,68,1
october,2017,deep,3,4,71,0
october,2017,deep,3,4,71,0
october,2017,deep,3,4,71,0
october,2017,deep,3,4,71,1
october,2017,deep,3,4,71,1
october,2017,deep,5,15,74,0
october,2017,deep,5,15,74,1
october,2017,deep,5,15,74,1
october,2017,deep,5,15,74,1
october,2017,deep,5,15,74,1
october,2017,deep,7,24,68,0
october,2017,deep,7,24,68,1
october,2017,deep,7,24,68,1
october,2017,deep,7,24,68,1
october,2017,deep,7,24,68,1
october,2017,deep,9,6,72,0
october,2017,deep,9,6,72,0
october,2017,deep,9,6,72,1
october,2017,deep,9,6,72,1
october,2017,deep,9,6,72,1
october,2017,deep,11,5,62,0
october,2017,deep,11,5,62,0
october,2017,deep,11,5,62,1
october,2017,deep,11,5,62,1
october,2017,deep,11,5,62,1
